mission_id,elapsed_seconds,event_type,severity,value
M0001,0.000,mision_iniciada,informativa,3.000
M0001,2.031,humedad_elevada,media,59.840
M0001,2.031,ruido_anormal,media,70.135
M0001,2.031,vibracion_anormal,media,4.957
M0001,2.197,temperatura_elevada,media,32.834
M0001,2.197,destino_alcanzado,informativa,1.000
M0002,0.000,mision_iniciada,informativa,3.000
M0002,4.512,vibracion_anormal,media,4.523
M0002,4.676,temperatura_elevada,media,32.454
M0002,4.676,humedad_elevada,media,59.004
M0002,4.676,destino_alcanzado,informativa,1.000
M0003,0.000,mision_iniciada,informativa,3.000
M0003,6.514,temperatura_elevada,media,32.251
M0003,6.514,vibracion_anormal,media,5.007
M0003,6.528,destino_alcanzado,informativa,1.000
M0004,0.000,mision_iniciada,informativa,3.000
M0004,5.690,ruido_anormal,media,68.939
M0004,5.690,vibracion_anormal,media,4.721
M0004,5.690,destino_alcanzado,informativa,1.000
M0005,0.000,mision_iniciada,informativa,3.000
M0005,2.194,destino_alcanzado,informativa,1.000
M0006,0.000,mision_iniciada,informativa,2.000
M0006,4.654,destino_alcanzado,informativa,1.000
M0007,0.000,mision_iniciada,informativa,2.000
M0007,6.531,destino_alcanzado,informativa,1.000
M0008,0.000,mision_iniciada,informativa,1.000
M0008,5.667,destino_alcanzado,informativa,1.000
M0009,0.000,mision_iniciada,informativa,4.000
M0009,2.193,destino_alcanzado,informativa,1.000
M0010,0.000,mision_iniciada,informativa,4.000
M0010,4.760,destino_alcanzado,informativa,1.000
