mission_id,elapsed_seconds,pos_x,pos_z,hotspot_distance,temperature_c,humidity_pct,noise_db,vibration
M0001,0.02,-8.718,0.287,16.975,23.43,45.54,51.38,1.45
M0001,0.52,-8.307,1.146,16.344,23.61,44.05,50.79,1.18
M0001,1.02,-6.968,1.468,14.967,23.25,46.27,49.51,1.47
M0001,1.52,-5.469,1.555,13.499,23.44,43.72,51.91,1.37
M0001,2.02,-3.968,1.642,12.038,24.58,46.49,50.12,1.10
M0001,2.52,-2.471,1.721,10.594,23.85,45.52,51.40,1.31
M0001,3.03,-0.973,1.810,9.163,24.11,43.80,50.97,1.48
M0001,3.53,0.075,2.354,7.988,23.68,44.71,51.47,1.02
M0001,4.03,0.287,3.822,7.363,23.79,44.24,52.47,1.16
M0001,4.53,0.926,4.911,6.585,23.24,46.21,51.40,1.19
M0001,5.03,2.400,5.020,5.107,24.03,46.96,49.30,1.03
M0001,5.53,3.893,5.102,3.612,24.37,47.61,53.21,1.73
M0001,6.03,5.377,5.184,2.126,29.56,52.70,62.32,3.12
M0001,6.53,6.820,5.263,0.681,34.00,59.91,70.58,4.90
M0001,7.03,7.500,5.300,0.000,36.63,63.27,72.02,5.76
M0001,7.53,7.500,5.300,0.000,36.21,61.23,74.11,5.68
M0001,8.03,7.500,5.300,0.000,35.21,63.11,73.46,5.49
M0001,8.54,7.500,5.300,0.000,36.04,61.74,73.37,5.72
