mission_id,destination,obstacle_count,duration_seconds,completed,battery_initial_pct,battery_final_pct,max_temperature_c,max_humidity_pct,max_noise_db,max_vibration,event_count
M0001,Rack Norte,3,2.197,yes,100.000,99.828,32.834,61.280,70.135,5.473,6
M0002,Sala Energia,3,4.676,yes,100.000,99.665,32.454,59.004,67.688,5.376,5
M0003,Sala Cooling,3,6.528,yes,100.000,99.528,32.251,57.511,67.025,5.007,4
M0004,Rack Sur,3,5.690,yes,100.000,99.598,31.191,56.671,68.939,4.721,4
M0005,Rack Norte,3,2.194,yes,100.000,99.829,30.848,56.973,67.124,4.458,2
M0006,Sala Energia,2,4.654,yes,100.000,99.708,31.079,54.757,67.033,4.495,2
M0007,Sala Cooling,2,6.531,yes,100.000,99.550,30.746,55.934,63.818,3.993,2
M0008,Rack Sur,1,5.667,yes,100.000,99.635,30.118,54.570,63.052,4.007,2
M0009,Rack Norte,4,2.193,yes,100.000,99.819,28.853,54.693,61.849,3.804,2
M0010,Sala Energia,4,4.760,yes,100.000,99.655,28.860,52.358,61.660,3.358,2
