mission_id,elapsed_seconds,pos_x,pos_y,pos_z,speed,remaining_distance,battery_pct
M0001,0.027,-8.718,0.050,0.287,0.000,Infinity,99.996
M0001,0.529,-8.274,0.050,1.186,3.000,5.520,99.961
M0001,1.030,-7.284,0.050,2.318,3.000,4.016,99.927
M0001,1.531,-6.299,0.050,3.447,2.986,2.517,99.892
M0001,2.031,-5.330,0.050,4.503,2.694,1.084,99.861
M0001,2.197,-4.956,0.050,4.816,2.788,0.596,99.828
M0002,0.003,-8.718,0.050,0.287,0.000,Infinity,99.996
M0002,0.504,-8.736,0.050,-0.531,2.780,Infinity,99.963
M0002,1.004,-7.515,0.050,-1.184,3.000,Infinity,99.929
M0002,1.506,-6.016,0.050,-1.326,3.000,Infinity,99.894
M0002,2.007,-4.520,0.050,-1.468,3.000,Infinity,99.860
M0002,2.507,-3.025,0.050,-1.610,2.986,Infinity,99.825
M0002,3.008,-1.535,0.050,-1.749,2.986,Infinity,99.791
M0002,3.509,-0.183,0.050,-1.995,2.269,3.792,99.764
M0002,4.010,0.204,0.050,-3.284,2.996,2.452,99.729
M0002,4.512,0.576,0.050,-4.680,2.778,1.060,99.697
M0002,4.676,0.959,0.050,-4.946,2.778,0.597,99.665
M0003,0.003,-8.718,0.050,0.287,0.000,Infinity,99.996
M0003,0.503,-8.332,0.050,1.118,2.638,Infinity,99.965
M0003,1.004,-7.013,0.050,1.466,3.000,Infinity,99.930
M0003,1.505,-5.513,0.050,1.553,3.000,Infinity,99.896
M0003,2.006,-4.012,0.050,1.640,3.000,Infinity,99.861
M0003,2.509,-2.507,0.050,1.720,2.996,Infinity,99.827
M0003,3.009,-1.010,0.050,1.807,2.996,Infinity,99.792
M0003,3.510,0.064,0.050,2.323,2.609,9.215,99.762
M0003,4.011,0.282,0.050,3.784,2.986,7.737,99.727
M0003,4.512,0.896,0.050,4.900,2.613,6.616,99.697
M0003,5.012,2.367,0.050,5.019,3.000,5.141,99.662
M0003,5.512,3.865,0.050,5.101,3.000,3.641,99.628
M0003,6.013,5.365,0.050,5.183,3.000,2.139,99.593
M0003,6.514,6.864,0.050,5.265,2.875,0.637,99.560
M0003,6.528,6.904,0.050,5.267,2.784,0.597,99.528
M0004,0.002,-8.718,0.050,0.287,0.000,Infinity,99.996
M0004,0.503,-8.734,0.050,-0.530,2.786,Infinity,99.963
M0004,1.003,-7.521,0.050,-1.190,3.000,Infinity,99.929
M0004,1.504,-6.024,0.050,-1.330,3.000,Infinity,99.894
M0004,2.004,-4.530,0.050,-1.471,3.000,Infinity,99.860
M0004,2.505,-3.036,0.050,-1.611,2.986,Infinity,99.825
M0004,3.006,-1.545,0.050,-1.748,2.986,Infinity,99.791
M0004,3.506,-0.190,0.050,-1.989,2.270,6.608,99.764
M0004,4.006,0.202,0.050,-3.267,2.996,5.277,99.729
M0004,4.506,0.553,0.050,-4.654,2.542,3.985,99.699
M0004,5.007,1.877,0.050,-4.998,3.000,2.630,99.665
M0004,5.508,3.376,0.050,-5.114,3.000,1.127,99.630
M0004,5.690,3.915,0.050,-5.155,2.784,0.586,99.598
M0005,0.002,-8.718,0.050,0.287,0.000,Infinity,99.996
M0005,0.503,-8.318,0.050,1.134,2.992,5.588,99.961
M0005,1.004,-7.330,0.050,2.266,2.986,4.086,99.927
M0005,1.505,-6.346,0.050,3.394,2.996,2.588,99.892
M0005,2.006,-5.374,0.050,4.460,2.655,1.146,99.861
M0005,2.194,-4.958,0.050,4.814,2.790,0.599,99.829
M0006,0.002,-8.718,0.050,0.287,0.000,Infinity,99.997
M0006,0.502,-8.734,0.050,-0.528,2.787,Infinity,99.966
M0006,1.002,-7.520,0.050,-1.219,3.000,Infinity,99.933
M0006,1.799,-5.163,0.050,-1.591,2.991,Infinity,99.900
M0006,2.300,-3.711,0.050,-1.782,2.618,Infinity,99.871
M0006,2.801,-2.993,0.050,-2.693,2.996,5.877,99.838
