alert_id,mission_id,robot_id,zone_id,alert_type,sensor_value,threshold,alert_severity,robot_dispatched,validation_result
AL0001,M0001,R01,Z01,temperatura_elevada,34.714,32.000,medium,yes,confirmed
AL0002,M0002,R01,Z02,ruido_anormal,74.425,68.000,high,yes,confirmed
AL0003,M0003,R01,Z03,ruido_anormal,77.733,68.000,high,yes,confirmed
AL0004,M0004,R01,Z04,humedad_elevada,58.756,58.000,medium,yes,false_positive
AL0005,M0005,R01,Z05,humedad_elevada,59.045,58.000,medium,yes,false_positive
AL0006,M0006,R01,Z06,ruido_anormal,68.839,68.000,medium,yes,false_positive
AL0007,M0007,R01,Z01,humedad_elevada,59.167,58.000,medium,yes,false_positive
AL0008,M0008,R01,Z02,temperatura_elevada,35.548,32.000,high,yes,confirmed
AL0009,M0009,R01,Z03,temperatura_elevada,34.366,32.000,medium,yes,confirmed
AL0010,M0010,R01,Z04,obstruccion_detectada,4.000,1.000,high,yes,confirmed
AL0011,M0011,R01,Z05,temperatura_elevada,38.612,32.000,high,yes,confirmed
AL0012,M0012,R01,Z06,temperatura_elevada,36.419,32.000,high,yes,confirmed
AL0013,M0013,R01,Z01,ruido_anormal,70.413,68.000,medium,yes,confirmed
AL0014,M0014,R01,Z02,temperatura_elevada,34.561,32.000,medium,yes,confirmed
AL0015,M0015,R01,Z03,temperatura_elevada,36.280,32.000,high,yes,confirmed
AL0016,M0016,R01,Z04,vibracion_anormal,5.579,4.500,medium,yes,confirmed
AL0017,M0017,R01,Z05,vibracion_anormal,4.653,4.500,medium,yes,false_positive
AL0018,M0018,R01,Z06,humedad_elevada,58.482,58.000,medium,yes,false_positive
AL0019,M0019,R01,Z01,vibracion_anormal,4.775,4.500,medium,yes,false_positive
AL0020,M0020,R01,Z02,vibracion_anormal,6.092,4.500,high,yes,confirmed
