mission_id,elapsed_seconds,event_type,severity,value
M0001,0.000,mision_iniciada,informativa,1.000
M0001,1.010,vibracion_anormal,media,5.255
M0001,1.312,temperatura_elevada,alta,36.744
M0001,1.312,humedad_elevada,alta,62.780
M0001,1.312,ruido_anormal,alta,73.212
M0001,1.312,destino_alcanzado,informativa,1.000
M0002,0.000,mision_iniciada,informativa,2.000
M0002,1.007,temperatura_elevada,media,32.361
M0002,1.007,vibracion_anormal,media,4.963
M0002,1.311,humedad_elevada,media,60.406
M0002,1.311,ruido_anormal,media,72.177
M0002,1.311,destino_alcanzado,informativa,1.000
M0003,0.000,mision_iniciada,informativa,5.000
M0003,6.027,temperatura_elevada,media,32.685
M0003,6.027,vibracion_anormal,media,5.205
M0003,6.381,humedad_elevada,alta,63.491
M0003,6.381,ruido_anormal,alta,76.860
M0003,6.381,destino_alcanzado,informativa,1.000
M0004,0.000,mision_iniciada,informativa,5.000
M0004,5.630,destino_alcanzado,informativa,1.000
M0005,0.000,mision_iniciada,informativa,2.000
M0005,5.467,destino_alcanzado,informativa,1.000
M0006,0.000,mision_iniciada,informativa,2.000
M0006,5.062,destino_alcanzado,informativa,1.000
M0007,0.000,mision_iniciada,informativa,3.000
M0007,1.312,vibracion_anormal,media,4.529
M0007,1.312,destino_alcanzado,informativa,1.000
M0008,0.000,mision_iniciada,informativa,4.000
M0008,1.012,vibracion_anormal,media,4.828
M0008,1.313,temperatura_elevada,media,34.037
M0008,1.313,ruido_anormal,media,70.423
M0008,1.313,destino_alcanzado,informativa,1.000
M0009,0.000,mision_iniciada,informativa,2.000
M0009,6.538,temperatura_elevada,alta,35.843
M0009,6.538,humedad_elevada,alta,64.725
M0009,6.619,ruido_anormal,media,70.744
M0009,6.619,vibracion_anormal,media,4.789
M0009,6.619,destino_alcanzado,informativa,1.000
M0010,0.000,mision_iniciada,informativa,4.000
M0010,5.879,destino_alcanzado,informativa,1.000
M0011,0.000,mision_iniciada,informativa,1.000
