mission_id,robot_id,elapsed_seconds,destination,hotspot_distance,temperature_c,humidity_pct,noise_db,vibration
M0001,R01,0.008,Sala Red,5.033,23.324,45.620,53.607,1.083
M0001,R01,0.510,Sala Red,3.808,26.461,47.931,55.785,2.202
M0001,R01,1.015,Sala Red,1.787,33.032,58.014,67.939,5.193
M0001,R01,1.315,Sala Red,0.592,36.696,62.622,72.551,6.824
M0002,R01,0.006,Sala Energia,5.033,23.617,43.246,54.281,1.068
M0002,R01,0.513,Sala Energia,3.797,25.695,47.251,54.955,2.196
M0002,R01,1.018,Sala Energia,1.775,31.917,54.552,65.224,5.230
M0002,R01,1.314,Sala Energia,0.592,35.712,59.072,71.042,6.871
M0003,R01,0.016,Sala Cooling,20.740,24.081,43.295,50.971,1.228
M0003,R01,0.518,Sala Cooling,19.784,23.606,45.165,49.923,0.983
M0003,R01,1.031,Sala Cooling,18.020,24.691,44.855,52.721,1.142
M0003,R01,1.536,Sala Cooling,16.112,23.867,43.763,52.846,1.007
M0003,R01,2.038,Sala Cooling,14.246,23.781,44.925,50.609,1.371
M0003,R01,2.542,Sala Cooling,12.415,23.698,46.096,51.864,1.064
M0003,R01,3.046,Sala Cooling,10.659,24.031,44.650,52.700,1.343
M0003,R01,3.553,Sala Cooling,8.769,23.390,44.074,51.858,0.950
M0003,R01,4.056,Sala Cooling,6.768,23.631,46.074,51.016,1.098
M0003,R01,4.560,Sala Cooling,5.043,24.105,46.062,53.695,1.103
M0003,R01,5.063,Sala Cooling,4.243,25.031,45.542,52.938,1.416
M0003,R01,5.568,Sala Cooling,3.296,28.535,50.265,57.686,3.435
M0003,R01,6.073,Sala Cooling,2.439,31.369,54.349,66.055,4.673
M0003,R01,6.560,Sala Cooling,0.593,38.257,62.682,75.066,7.523
M0004,R01,0.006,Sala UPS,20.740,23.573,45.522,52.003,1.180
M0004,R01,0.511,Sala UPS,19.563,24.391,44.424,51.221,1.157
M0004,R01,1.019,Sala UPS,17.598,23.511,45.107,50.794,1.161
M0004,R01,1.528,Sala UPS,15.593,23.630,44.082,49.766,1.389
M0004,R01,2.040,Sala UPS,13.587,23.839,44.977,51.258,1.319
M0004,R01,2.540,Sala UPS,11.641,23.772,44.843,49.927,1.269
M0004,R01,3.041,Sala UPS,9.714,24.612,46.561,54.221,1.254
M0004,R01,3.546,Sala UPS,7.810,23.847,43.558,53.201,1.293
M0004,R01,4.050,Sala UPS,5.992,24.496,46.715,52.950,1.002
M0004,R01,4.554,Sala UPS,4.451,24.599,45.004,51.314,1.084
M0004,R01,5.055,Sala UPS,4.186,24.554,46.396,52.615,1.697
M0004,R01,5.559,Sala UPS,3.382,26.707,49.207,56.501,2.007
M0004,R01,6.064,Sala UPS,2.700,27.228,51.696,56.626,2.770
M0004,R01,6.564,Sala UPS,0.929,31.336,56.660,66.136,4.340
M0004,R01,6.648,Sala UPS,0.596,31.184,57.762,64.487,4.598
