obstacle_id,mission_id,obstacle_type,pos_x,pos_z,blocks_route,generates_detour
O0001_01,M0001,pallet,-6.800,5.300,no,yes
O0002_01,M0002,caja_tecnica,-0.500,0.000,yes,yes
O0002_02,M0002,cableado_temporal,0.000,-5.300,no,yes
O0003_01,M0003,pallet,7.000,0.000,yes,yes
O0003_02,M0003,cableado_temporal,-6.800,-5.300,no,yes
O0003_03,M0003,cableado_temporal,-8.000,0.000,yes,yes
O0003_04,M0003,cableado_temporal,0.000,5.300,no,yes
O0003_05,M0003,carrito_herramientas,-0.500,0.000,yes,yes
O0004_01,M0004,pallet,0.000,5.300,no,yes
O0004_02,M0004,cableado_temporal,-0.500,0.000,yes,yes
O0004_03,M0004,cableado_temporal,2.000,0.000,yes,yes
O0004_04,M0004,caja_tecnica,-8.000,0.000,yes,yes
O0004_05,M0004,caja_tecnica,-6.800,5.300,no,yes
O0005_01,M0005,caja_tecnica,-6.800,-5.300,no,yes
O0005_02,M0005,pallet,4.500,0.000,yes,yes
O0006_01,M0006,pallet,-0.500,0.000,yes,yes
O0006_02,M0006,caja_tecnica,0.000,5.300,no,yes
O0007_01,M0007,caja_tecnica,2.000,0.000,yes,yes
O0007_02,M0007,cableado_temporal,-8.000,0.000,yes,yes
O0007_03,M0007,carrito_herramientas,6.800,-5.300,no,yes
O0008_01,M0008,pallet,6.800,5.300,no,yes
O0008_02,M0008,cableado_temporal,-5.500,0.000,yes,yes
O0008_03,M0008,carrito_herramientas,-3.000,0.000,yes,yes
O0008_04,M0008,cableado_temporal,2.000,0.000,yes,yes
O0009_01,M0009,carrito_herramientas,7.000,0.000,yes,yes
O0009_02,M0009,carrito_herramientas,6.800,5.300,no,yes
O0010_01,M0010,caja_tecnica,0.000,-5.300,no,yes
O0010_02,M0010,carrito_herramientas,6.800,5.300,no,yes
O0010_03,M0010,caja_tecnica,-6.800,-5.300,no,yes
O0010_04,M0010,cableado_temporal,2.000,0.000,yes,yes
O0011_01,M0011,pallet,-6.800,5.300,no,yes
O0012_01,M0012,cableado_temporal,-5.500,0.000,yes,yes
O0012_02,M0012,carrito_herramientas,6.800,5.300,no,yes
O0013_01,M0013,pallet,6.800,-5.300,no,yes
O0013_02,M0013,carrito_herramientas,2.000,0.000,yes,yes
O0013_03,M0013,carrito_herramientas,4.500,0.000,yes,yes
O0014_01,M0014,pallet,0.000,5.300,no,yes
O0014_02,M0014,carrito_herramientas,0.000,-5.300,no,yes
O0014_03,M0014,cableado_temporal,6.800,-5.300,no,yes
O0014_04,M0014,caja_tecnica,6.800,5.300,no,yes
O0015_01,M0015,carrito_herramientas,7.000,0.000,yes,yes
O0015_02,M0015,caja_tecnica,-5.500,0.000,yes,yes
O0015_03,M0015,carrito_herramientas,6.800,5.300,no,yes
O0015_04,M0015,carrito_herramientas,4.500,0.000,yes,yes
O0015_05,M0015,pallet,0.000,-5.300,no,yes
O0016_01,M0016,carrito_herramientas,-6.800,5.300,no,yes
O0016_02,M0016,caja_tecnica,4.500,0.000,yes,yes
O0016_03,M0016,caja_tecnica,6.800,5.300,no,yes
O0017_01,M0017,cableado_temporal,0.000,5.300,no,yes
O0017_02,M0017,carrito_herramientas,6.800,5.300,no,yes
O0017_03,M0017,pallet,6.800,-5.300,no,yes
O0018_01,M0018,carrito_herramientas,-6.800,-5.300,no,yes
O0018_02,M0018,pallet,-8.000,0.000,yes,yes
O0018_03,M0018,carrito_herramientas,-3.000,0.000,yes,yes
O0018_04,M0018,pallet,-0.500,0.000,yes,yes
O0019_01,M0019,caja_tecnica,6.800,-5.300,no,yes
O0019_02,M0019,caja_tecnica,6.800,5.300,no,yes
O0019_03,M0019,pallet,7.000,0.000,yes,yes
O0019_04,M0019,cableado_temporal,0.000,-5.300,no,yes
O0020_01,M0020,cableado_temporal,-3.000,0.000,yes,yes
O0020_02,M0020,pallet,-8.000,0.000,yes,yes
O0020_03,M0020,caja_tecnica,6.800,-5.300,no,yes
