mission_id,elapsed_seconds,pos_x,pos_y,pos_z,speed,remaining_distance,battery_pct
M0001,0.005,-11.000,0.050,0.000,0.000,5.033,99.999
M0001,0.508,-10.563,0.050,1.141,4.000,3.811,99.957
M0001,1.010,-9.844,0.050,3.019,4.000,1.800,99.916
M0001,1.312,-9.414,0.050,4.142,3.767,0.597,99.876
M0002,0.003,-11.000,0.050,0.000,0.000,5.033,99.997
M0002,0.504,-10.568,0.050,-1.128,4.000,3.825,99.954
M0002,1.007,-9.848,0.050,-3.009,4.000,1.811,99.911
M0002,1.311,-9.414,0.050,-4.141,3.740,0.599,99.871
M0003,0.003,-11.000,0.050,0.000,0.000,Infinity,99.993
M0003,0.506,-9.784,0.050,0.000,4.000,Infinity,99.945
M0003,1.009,-7.770,0.050,0.000,4.000,Infinity,99.898
M0003,1.510,-5.768,0.050,0.000,4.000,Infinity,99.850
M0003,2.012,-3.761,0.050,0.000,4.000,Infinity,99.803
M0003,2.513,-1.756,0.050,0.000,4.000,Infinity,99.755
M0003,3.015,0.241,0.050,0.093,4.000,Infinity,99.708
M0003,3.517,2.164,0.050,0.668,4.000,Infinity,99.660
M0003,4.020,4.083,0.050,1.238,3.995,Infinity,99.613
M0003,4.522,5.918,0.050,1.839,3.017,5.675,99.575
M0003,5.023,6.000,0.050,2.615,3.853,4.897,99.529
M0003,5.526,6.056,0.050,4.595,3.474,3.145,99.487
M0003,6.027,7.277,0.050,5.274,3.769,2.007,99.441
M0003,6.381,8.630,0.050,4.872,3.810,0.596,99.396
M0004,0.003,-11.000,0.050,0.000,0.000,22.115,99.993
M0004,0.504,-10.163,0.050,-0.871,4.000,20.907,99.945
M0004,1.004,-8.784,0.050,-2.318,3.995,18.908,99.898
M0004,1.507,-7.392,0.050,-3.770,3.995,16.897,99.850
M0004,2.012,-5.848,0.050,-4.916,3.796,15.050,99.805
M0004,2.533,-3.772,0.050,-4.902,4.000,12.974,99.757
M0004,3.035,-1.766,0.050,-4.871,4.000,10.968,99.710
M0004,3.538,0.245,0.050,-4.840,4.000,8.956,99.662
M0004,4.040,2.254,0.050,-4.808,4.000,6.947,99.615
M0004,4.541,4.258,0.050,-4.777,4.000,4.943,99.567
M0004,5.041,6.259,0.050,-4.746,4.000,2.942,99.520
M0004,5.542,8.264,0.050,-4.715,4.000,0.937,99.472
M0004,5.630,8.611,0.050,-4.709,3.735,0.589,99.427
M0005,0.003,-11.000,0.050,0.000,0.000,Infinity,99.997
M0005,0.503,-9.815,0.050,0.228,4.000,Infinity,99.954
M0005,1.005,-7.846,0.050,0.606,4.000,Infinity,99.911
M0005,1.508,-5.868,0.050,0.984,3.995,Infinity,99.868
M0005,2.011,-3.893,0.050,1.355,3.995,Infinity,99.825
M0005,2.515,-2.743,0.050,1.529,2.056,Infinity,99.802
M0005,3.016,-2.088,0.050,1.912,1.259,Infinity,99.786
M0005,3.516,-1.901,0.050,3.164,3.981,7.629,99.743
M0005,4.016,-1.523,0.050,4.966,3.149,6.132,99.709
M0005,4.516,0.200,0.050,5.317,4.000,4.400,99.666
M0005,5.018,2.208,0.050,5.309,4.000,2.392,99.623
M0005,5.467,4.001,0.050,5.302,3.770,0.599,99.582
M0006,0.003,-11.000,0.050,0.000,0.000,Infinity,99.997
M0006,0.505,-9.809,0.050,-0.229,4.000,Infinity,99.954
M0006,1.011,-7.821,0.050,-0.611,4.000,Infinity,99.911
M0006,1.515,-5.845,0.050,-0.989,3.981,Infinity,99.868
M0006,2.018,-3.882,0.050,-1.351,3.841,Infinity,99.827
M0006,2.523,-2.177,0.050,-1.580,1.878,Infinity,99.805
M0006,3.026,-1.894,0.050,-2.862,3.981,7.929,99.762
M0006,3.527,-1.672,0.050,-4.778,3.290,6.294,99.726
M0006,4.028,-0.126,0.050,-5.333,4.000,4.726,99.683
M0006,4.530,1.883,0.050,-5.319,4.000,2.717,99.640
M0006,5.032,3.891,0.050,-5.305,4.000,0.709,99.597
M0006,5.062,4.008,0.050,-5.304,3.735,0.592,99.557
M0007,0.004,-11.000,0.050,0.000,0.000,5.033,99.996
M0007,0.506,-10.565,0.050,1.135,4.000,3.817,99.951
M0007,1.008,-9.846,0.050,3.013,4.000,1.807,99.906
M0007,1.312,-9.412,0.050,4.145,3.754,0.594,99.864
M0008,0.004,-11.000,0.050,0.000,0.000,5.033,99.994
M0008,0.506,-10.565,0.050,-1.136,4.000,3.816,99.948
M0008,1.012,-9.842,0.050,-3.024,4.000,1.795,99.902
M0008,1.313,-9.412,0.050,-4.145,3.752,0.594,99.858
M0009,0.005,-11.000,0.050,0.000,0.000,Infinity,99.997
M0009,0.507,-9.804,0.050,0.230,4.000,Infinity,99.954
M0009,1.007,-7.839,0.050,0.608,4.000,Infinity,99.911
M0009,1.512,-5.855,0.050,0.987,4.000,Infinity,99.868
M0009,2.016,-3.874,0.050,1.359,4.000,Infinity,99.825
M0009,2.517,-2.727,0.050,1.532,2.090,Infinity,99.801
M0009,3.021,-2.064,0.050,1.936,1.132,Infinity,99.787
M0009,3.523,-1.894,0.050,3.279,3.981,12.063,99.744
M0009,4.024,-1.471,0.050,5.027,3.033,10.676,99.711
M0009,4.525,0.274,0.050,5.244,4.000,8.942,99.668
M0009,5.028,2.286,0.050,5.121,4.000,6.927,99.625
M0009,5.531,4.292,0.050,4.999,4.000,4.918,99.582
M0009,6.036,6.310,0.050,4.876,4.000,2.895,99.539
M0009,6.538,8.314,0.050,4.754,4.000,0.887,99.496
M0009,6.619,8.632,0.050,4.735,3.804,0.569,99.455
M0010,0.013,-11.000,0.050,0.000,0.000,Infinity,99.994
M0010,0.514,-9.773,0.050,-0.136,4.000,Infinity,99.948
